epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,6941.84,0.96172,0.84635,1.18417,0.6475,0.45487,0.47104,0.33317,1.71553,2.01367,2.02985,0.002344,0.002344,0.002344
118,7000.5,0.94974,0.84767,1.18131,0.64674,0.45561,0.47162,0.33333,1.71548,2.01282,2.03023,0.002278,0.002278,0.002278
119,7059.1,0.95884,0.85022,1.18591,0.64727,0.45533,0.47128,0.33352,1.71523,2.01286,2.03015,0.002212,0.002212,0.002212
120,7117.48,0.94805,0.83911,1.18083,0.64714,0.4549,0.47114,0.33344,1.7157,2.01394,2.03031,0.002146,0.002146,0.002146
121,7175.89,0.94681,0.84022,1.178,0.64802,0.45465,0.4715,0.33362,1.71566,2.01481,2.03074,0.00208,0.00208,0.00208
122,7234.33,0.95004,0.84743,1.18195,0.64753,0.45509,0.47182,0.33374,1.71654,2.01375,2.0316,0.002014,0.002014,0.002014
123,7292.74,0.94907,0.83664,1.17683,0.64889,0.45456,0.4724,0.33408,1.71687,2.01477,2.03247,0.001948,0.001948,0.001948
124,7351.3,0.94658,0.83615,1.17663,0.64819,0.45482,0.47253,0.33434,1.71668,2.0161,2.03288,0.001882,0.001882,0.001882
125,7409.73,0.94562,0.83547,1.17724,0.64757,0.45258,0.47261,0.33445,1.71688,2.01639,2.0334,0.001816,0.001816,0.001816
126,7468.17,0.94394,0.82773,1.17703,0.64719,0.45291,0.47256,0.33477,1.71718,2.01646,2.03395,0.00175,0.00175,0.00175
127,7526.76,0.93149,0.82635,1.17094,0.64764,0.45238,0.47259,0.33481,1.71813,2.01567,2.03546,0.001684,0.001684,0.001684
128,7584.9,0.92906,0.82348,1.16751,0.64804,0.45289,0.47323,0.33499,1.7179,2.01679,2.03512,0.001618,0.001618,0.001618
129,7643.47,0.92088,0.81474,1.16676,0.64704,0.45086,0.47275,0.33501,1.71792,2.01755,2.03546,0.001552,0.001552,0.001552
130,7702,0.91912,0.81265,1.16361,0.64715,0.45181,0.47309,0.33501,1.71837,2.01808,2.03615,0.001486,0.001486,0.001486
131,7760.68,0.91957,0.80124,1.16129,0.64867,0.45103,0.47315,0.33471,1.71848,2.01814,2.03709,0.00142,0.00142,0.00142
